25/021|25/02/2025|1,2,6,11,40,47,32
25/022|27/02/2025|7,11,15,17,25,28,9
25/023|01/03/2025|4,15,22,25,29,42,1
25/024|04/03/2025|1,9,14,38,42,43,23
25/025|06/03/2025|4,11,19,20,30,39,45
25/026|08/03/2025|19,25,26,29,32,39,4
25/027|11/03/2025|1,4,9,14,21,37,45
25/028|13/03/2025|4,16,19,21,26,29,13
25/029|16/03/2025|29,30,36,41,48,49,14
25/030|18/03/2025|6,8,24,26,29,45,39
25/031|20/03/2025|16,20,21,24,39,43,34
25/032|22/03/2025|12,23,24,27,36,46,43
25/033|25/03/2025|8,11,17,36,43,48,25
25/034|27/03/2025|10,19,35,44,47,49,15
25/035|29/03/2025|3,5,12,13,45,47,46
25/036|01/04/2025|6,14,17,30,35,42,49
25/037|03/04/2025|2,4,7,29,32,40,44
25/038|05/04/2025|7,11,22,26,39,44,8
25/039|08/04/2025|11,17,20,27,36,48,21
25/040|10/04/2025|11,22,23,26,32,35,2
25/041|12/04/2025|19,21,34,36,47,49,14
25/042|15/04/2025|10,20,21,22,23,42,49
25/043|19/04/2025|1,11,24,37,45,49,22
25/044|22/04/2025|3,7,11,20,23,27,29
25/045|24/04/2025|12,16,21,35,44,48,32
25/046|26/04/2025|11,15,18,21,29,40,8
25/047|29/04/2025|20,21,24,30,32,38,47
25/048|01/05/2025|4,7,21,32,41,47,28
25/049|03/05/2025|18,20,30,35,47,49,44
25/050|06/05/2025|12,15,25,26,29,41,42
25/051|08/05/2025|6,11,17,22,27,43,24
25/052|11/05/2025|19,26,28,29,46,49,32
25/053|13/05/2025|13,26,27,41,45,49,46
25/054|15/05/2025|6,12,29,32,34,46,16
25/055|17/05/2025|12,22,27,29,32,34,9
25/056|20/05/2025|10,15,28,31,34,40,48
25/057|22/05/2025|4,11,26,29,34,35,18
25/058|24/05/2025|6,14,15,19,45,47,17
25/059|29/05/2025|5,6,16,21,24,35,33
25/060|01/06/2025|12,16,28,29,38,47,26
25/061|03/06/2025|1,2,13,15,41,46,27
25/062|05/06/2025|18,22,24,33,39,44,3
25/063|07/06/2025|9,15,27,30,34,39,19
25/064|10/06/2025|9,13,35,40,45,46,26
25/065|12/06/2025|6,25,32,36,39,45,13
25/066|17/06/2025|5,19,30,40,44,45,26
25/067|19/06/2025|7,12,13,18,34,35,6
25/068|21/06/2025|2,4,19,27,31,39,13
25/069|24/06/2025|3,21,28,33,45,49,29
25/070|26/06/2025|9,11,23,24,29,49,30
25/071|29/06/2025|19,29,32,34,42,46,20
25/072|03/07/2025|7,17,24,35,37,45,30
25/073|06/07/2025|5,9,22,33,46,47,36
25/074|08/07/2025|13,16,17,22,23,35,41
25/075|10/07/2025|6,13,23,25,32,39,34
25/076|12/07/2025|5,17,20,24,27,35,38
25/077|15/07/2025|9,12,23,30,31,44,5
25/078|17/07/2025|12,19,31,37,42,45,15
25/079|19/07/2025|6,25,29,40,48,49,42
25/080|21/07/2025|17,20,28,31,35,48,32
25/081|26/07/2025|19,22,25,32,33,45,36
25/082|29/07/2025|9,11,17,28,35,43,42
25/083|31/07/2025|10,21,23,27,35,47,39
25/084|02/08/2025|10,14,18,21,34,44,24
25/085|07/08/2025|3,7,25,29,37,39,8
25/086|09/08/2025|25,36,44,45,48,49,13
25/087|12/08/2025|8,16,18,28,29,32,20
25/088|14/08/2025|1,13,25,27,31,34,33
25/089|16/08/2025|4,10,15,20,32,38,26
25/090|19/08/2025|28,32,34,37,45,49,7
25/091|21/08/2025|6,8,10,23,32,45,3
25/092|23/08/2025|17,22,26,36,39,45,14
25/093|26/08/2025|2,3,16,25,38,48,6
25/094|28/08/2025|5,36,39,44,48,49,32
25/095|30/08/2025|6,18,31,33,44,49,2
25/096|02/09/2025|5,18,23,24,29,49,11
25/097|06/09/2025|6,19,22,23,34,43,11
25/098|09/09/2025|7,15,32,40,42,44,9
25/099|11/09/2025|11,21,22,25,32,44,38
25/100|13/09/2025|15,21,23,37,47,49,30
25/101|16/09/2025|14,21,22,28,32,33,25
25/102|18/09/2025|22,33,35,36,37,48,30
25/103|20/09/2025|8,13,17,24,36,43,41
25/104|25/09/2025|2,11,22,27,46,47,32
25/105|27/09/2025|8,14,16,18,26,48,44
25/106|30/09/2025|13,21,33,41,44,46,43
25/107|06/10/2025|15,17,19,23,24,34,33
25/108|09/10/2025|1,3,24,31,39,45,7
25/109|11/10/2025|5,6,18,19,30,39,7
25/110|14/10/2025|3,15,17,24,32,44,20
25/111|16/10/2025|2,11,32,40,43,48,12
25/112|18/10/2025|5,13,17,18,31,44,2
25/113|21/10/2025|1,8,9,11,18,32,13
25/114|23/10/2025|4,19,24,25,26,46,39
25/115|25/10/2025|6,7,27,36,39,43,1
25/116|28/10/2025|4,7,15,21,45,46,24
25/117|04/11/2025|19,20,26,28,39,44,4
25/118|06/11/2025|10,17,22,33,40,41,31
25/119|08/11/2025|7,9,16,17,33,46,49
25/120|11/11/2025|18,20,28,37,38,40,41
25/121|13/11/2025|10,11,28,30,37,39,15
25/122|16/11/2025|2,11,13,28,38,47,7
25/123|18/11/2025|2,4,10,26,28,36,23
25/124|20/11/2025|19,26,33,35,36,39,5
25/125|25/11/2025|1,2,17,35,37,48,8
25/126|02/12/2025|6,18,29,34,37,38,39
25/127|06/12/2025|4,6,26,28,34,40,25
25/128|11/12/2025|1,5,6,25,30,42,43
25/129|13/12/2025|10,17,19,28,45,49,1
25/130|16/12/2025|3,12,23,28,35,38,24
25/131|18/12/2025|6,23,28,31,33,34,11
25/132|21/12/2025|9,17,27,34,39,47,46
25/133|25/12/2025|1,2,4,30,41,43,13
25/134|28/12/2025|7,10,11,19,25,30,45
26/001|03/01/2026|2,10,13,16,20,21,14
26/002|06/01/2026|2,8,12,19,28,36,1
26/003|08/01/2026|15,21,24,40,45,46,13
26/004|10/01/2026|3,16,20,22,24,37,42
26/005|13/01/2026|14,24,34,38,48,49,27
26/006|15/01/2026|3,6,37,38,39,44,48
26/007|17/01/2026|5,12,15,23,27,42,46
26/008|20/01/2026|1,4,6,9,44,46,27
26/009|22/01/2026|4,9,15,24,27,31,45
26/010|24/01/2026|6,16,17,22,28,48,45
26/011|27/01/2026|7,12,14,25,38,47,15
26/012|29/01/2026|6,9,12,14,35,44,11
26/013|31/01/2026|25,30,32,35,36,47,46
26/014|03/02/2026|12,23,27,37,39,42,5
26/015|05/02/2026|1,9,17,24,35,36,42
26/016|07/02/2026|12,22,28,32,37,44,20
26/017|10/02/2026|3,4,14,18,26,39,40
